source,target,weight,timeset
53,7,4,2010-12-15T19:47:12Z
7,55,1,2010-12-15T21:17:37Z
55,7,1,2010-12-16T09:06:16Z
29,7,2,2010-12-18T23:49:57Z
4,57,5,2010-12-19T21:56:58Z
39,21,2,2010-12-20T04:25:58Z
21,39,2,2010-12-20T04:28:48Z
4,61,2,2010-12-20T05:40:18Z
61,4,3,2010-12-20T05:41:12Z
61,20,8,2010-12-20T05:41:24Z
61,2,2,2010-12-20T05:42:07Z
35,65,1,2010-12-21T08:40:38Z
65,35,2,2010-12-21T12:52:28Z
56,1,2,2010-12-21T18:45:57Z
1,56,2,2010-12-21T18:46:35Z
4,66,2,2010-12-22T20:45:23Z
66,4,2,2010-12-22T21:52:22Z
21,7,5,2010-12-24T11:53:24Z
7,20,4,2010-12-27T00:31:10Z
35,69,1,2010-12-27T11:14:32Z
35,70,1,2010-12-27T11:14:39Z
39,69,2,2010-12-27T12:35:41Z
69,39,2,2010-12-27T12:37:36Z
69,35,2,2010-12-27T12:37:43Z
1,71,1,2010-12-27T20:20:38Z
71,1,8,2010-12-27T20:25:51Z
7,28,2,2010-12-27T20:28:08Z
28,7,1,2010-12-27T20:37:14Z
4,72,4,2010-12-28T08:04:59Z
1,74,1,2010-12-28T23:34:34Z
74,1,1,2010-12-28T23:34:40Z
41,75,1,2010-12-29T00:52:41Z
68,64,1,2010-12-29T06:11:45Z
76,7,1,2010-12-29T06:35:43Z
7,76,1,2010-12-29T06:36:30Z
7,19,5,2010-12-29T14:18:36Z
32,23,1,2010-12-29T17:20:57Z
23,32,1,2010-12-29T18:12:20Z
23,20,1,2010-12-29T22:17:35Z
61,77,4,2010-12-29T23:37:20Z
1,78,1,2010-12-30T22:52:53Z
78,1,1,2010-12-30T22:54:29Z
60,41,1,2010-12-31T18:24:00Z
41,60,1,2010-12-31T18:32:19Z
78,60,1,2010-12-31T21:37:40Z
60,78,1,2010-12-31T21:37:59Z
57,4,2,2011-01-01T00:54:14Z
23,69,1,2011-01-01T13:22:00Z
69,23,1,2011-01-01T13:22:17Z
64,68,1,2011-01-02T01:05:57Z
35,79,1,2011-01-02T18:54:39Z
79,35,1,2011-01-02T19:36:31Z
41,4,1,2011-01-03T18:59:23Z
4,41,1,2011-01-03T18:59:37Z
1,68,2,2011-01-03T19:41:28Z
68,1,2,2011-01-03T19:42:05Z
69,28,3,2011-01-04T07:36:30Z
28,69,3,2011-01-04T14:46:32Z
64,80,1,2011-01-05T01:22:22Z
17,81,1,2011-01-05T01:48:14Z
81,17,1,2011-01-05T01:56:54Z
69,62,1,2011-01-05T16:20:10Z
62,69,1,2011-01-05T17:38:00Z
41,83,1,2011-01-05T21:27:49Z
41,104,1,2011-01-05T22:41:04Z
83,41,1,2011-01-05T22:41:17Z
41,86,1,2011-01-05T23:46:57Z
86,41,1,2011-01-06T00:33:43Z
104,41,1,2011-01-06T03:37:48Z
4,87,1,2011-01-06T07:47:10Z
87,4,1,2011-01-06T07:49:46Z
81,69,2,2011-01-07T10:26:10Z
69,81,2,2011-01-07T10:27:56Z
41,89,1,2011-01-07T18:47:52Z
89,41,1,2011-01-07T19:47:09Z
60,87,1,2011-01-07T19:52:12Z
87,60,1,2011-01-07T19:53:19Z
7,89,2,2011-01-07T22:15:42Z
89,7,2,2011-01-07T22:26:33Z
64,94,1,2011-01-09T04:12:55Z
41,70,1,2011-01-09T17:55:19Z
94,64,1,2011-01-09T18:52:18Z
70,95,1,2011-01-09T19:12:01Z
95,70,3,2011-01-09T19:12:34Z
70,41,1,2011-01-09T19:12:35Z
70,35,1,2011-01-09T19:12:42Z
39,17,3,2011-01-10T19:56:21Z
17,39,1,2011-01-10T19:57:18Z
70,96,1,2011-01-11T23:32:01Z
96,70,3,2011-01-12T17:51:33Z
15,97,2,2011-01-13T11:57:38Z
97,15,2,2011-01-13T13:57:56Z
69,99,4,2011-01-13T19:39:56Z
99,69,1,2011-01-13T21:15:08Z
88,7,3,2011-01-14T03:00:57Z
1,81,1,2011-01-14T05:14:02Z
70,15,1,2011-01-14T09:20:43Z
15,70,1,2011-01-14T13:26:33Z
81,1,1,2011-01-15T03:02:39Z
1,101,1,2011-01-16T07:44:33Z
62,54,2,2011-01-16T21:31:37Z
54,62,2,2011-01-16T21:31:53Z
101,1,1,2011-01-16T23:17:44Z
100,101,1,2011-01-17T00:11:14Z
101,103,1,2011-01-17T00:25:55Z
80,25,2,2011-01-17T16:43:51Z
100,60,2,2011-01-18T23:51:06Z
39,4,1,2011-01-19T05:55:59Z
4,39,1,2011-01-19T05:56:11Z
41,105,1,2011-01-19T18:00:35Z
72,4,4,2011-01-20T07:16:05Z
96,106,1,2011-01-20T15:43:16Z
106,96,1,2011-01-20T21:58:13Z
81,107,2,2011-01-21T14:40:29Z
107,81,3,2011-01-21T15:03:58Z
60,108,1,2011-01-21T22:05:15Z
108,60,1,2011-01-21T22:05:36Z
97,68,1,2011-01-22T18:15:15Z
68,97,1,2011-01-22T18:18:44Z
96,107,2,2011-01-23T18:16:33Z
7,109,1,2011-01-24T05:33:09Z
109,7,1,2011-01-24T05:33:17Z
41,110,1,2011-01-25T21:17:12Z
41,68,1,2011-01-25T22:43:34Z
68,41,1,2011-01-25T22:44:40Z
107,96,2,2011-01-26T19:49:45Z
23,7,5,2011-01-26T21:07:42Z
7,111,1,2011-01-26T23:48:43Z
111,7,1,2011-01-26T23:50:47Z
64,112,2,2011-01-27T02:52:21Z
112,64,2,2011-01-27T02:52:48Z
112,77,1,2011-01-27T21:21:50Z
112,115,2,2011-01-27T21:22:24Z
112,60,4,2011-01-27T21:23:23Z
60,112,4,2011-01-27T21:37:24Z
109,39,1,2011-01-28T15:43:32Z
39,109,1,2011-01-28T15:43:40Z
6,114,2,2011-01-29T08:57:37Z
114,39,1,2011-01-29T08:58:03Z
6,32,1,2011-01-29T09:02:03Z
39,114,1,2011-01-29T09:04:38Z
47,7,1,2011-01-31T22:14:20Z
1,119,1,2011-01-31T22:15:02Z
119,1,10,2011-01-31T22:36:24Z
100,1,3,2011-01-31T22:37:07Z
100,7,4,2011-02-01T02:49:43Z
7,100,2,2011-02-01T02:51:08Z
7,47,1,2011-02-01T02:51:58Z
7,122,1,2011-02-01T09:47:53Z
122,7,1,2011-02-01T09:48:01Z
23,108,1,2011-02-01T16:51:22Z
108,23,1,2011-02-01T16:51:32Z
108,104,1,2011-02-01T17:08:21Z
104,108,1,2011-02-01T17:08:47Z
60,56,2,2011-02-01T21:21:42Z
115,77,3,2011-02-01T23:03:01Z
119,127,10,2011-02-02T01:03:50Z
119,25,1,2011-02-02T01:14:33Z
1,2,8,2011-02-02T06:49:03Z
1,76,2,2011-02-02T07:20:15Z
76,1,2,2011-02-02T07:22:04Z
1,23,6,2011-02-02T14:41:11Z
54,129,1,2011-02-02T21:36:52Z
116,7,2,2011-02-02T23:18:53Z
7,116,2,2011-02-02T23:19:33Z
54,13,2,2011-02-02T23:51:53Z
13,54,2,2011-02-02T23:52:44Z
77,39,3,2011-02-03T17:29:57Z
77,15,1,2011-02-03T17:32:15Z
77,6,3,2011-02-03T17:33:11Z
77,1,3,2011-02-03T17:33:16Z
77,23,1,2011-02-03T17:33:34Z
77,28,3,2011-02-03T17:33:55Z
77,115,3,2011-02-03T17:34:04Z
77,112,1,2011-02-03T17:35:11Z
77,131,1,2011-02-03T17:36:39Z
77,61,3,2011-02-03T17:37:24Z
129,54,1,2011-02-03T18:46:19Z
54,2,2,2011-02-03T21:44:31Z
2,54,2,2011-02-03T21:44:54Z
127,119,10,2011-02-03T22:42:59Z
127,132,1,2011-02-03T22:45:29Z
132,127,2,2011-02-03T23:06:00Z
7,133,1,2011-02-04T04:02:03Z
133,7,1,2011-02-04T04:05:59Z
105,41,1,2011-02-04T16:44:22Z
41,64,1,2011-02-05T01:10:52Z
64,41,1,2011-02-05T01:11:57Z
57,110,1,2011-02-05T01:41:08Z
113,125,2,2011-02-05T05:38:25Z
125,113,2,2011-02-05T05:44:04Z
54,7,6,2011-02-05T13:40:25Z
7,54,5,2011-02-05T13:45:57Z
113,23,2,2011-02-05T17:36:22Z
113,135,2,2011-02-05T17:37:04Z
135,113,2,2011-02-05T17:40:23Z
78,36,2,2011-02-07T15:49:08Z
36,78,2,2011-02-07T15:50:04Z
2,132,2,2011-02-07T18:15:09Z
132,2,2,2011-02-07T18:16:25Z
96,15,4,2011-02-08T17:49:19Z
110,57,1,2011-02-08T20:43:56Z
110,41,1,2011-02-08T20:44:03Z
132,28,1,2011-02-08T23:09:14Z
28,132,1,2011-02-08T23:20:40Z
111,1,1,2011-02-09T22:50:37Z
132,134,1,2011-02-10T01:25:58Z
134,132,1,2011-02-10T01:26:04Z
132,100,1,2011-02-10T03:23:24Z
100,132,1,2011-02-10T03:25:56Z
41,137,1,2011-02-10T05:24:00Z
15,96,3,2011-02-10T17:45:11Z
137,41,1,2011-02-10T19:53:21Z
7,137,1,2011-02-10T20:40:41Z
137,7,1,2011-02-10T20:51:58Z
1,138,1,2011-02-10T21:36:57Z
138,1,1,2011-02-10T21:43:24Z
132,138,1,2011-02-10T23:00:06Z
138,132,1,2011-02-10T23:01:11Z
100,111,1,2011-02-11T00:56:01Z
111,100,1,2011-02-11T00:58:42Z
100,64,1,2011-02-11T01:06:07Z
64,100,1,2011-02-11T01:06:58Z
41,140,1,2011-02-11T21:58:41Z
140,41,1,2011-02-11T22:21:14Z
7,60,5,2011-02-11T23:38:32Z
60,100,2,2011-02-12T03:02:44Z
7,141,2,2011-02-12T03:43:26Z
141,134,5,2011-02-12T05:43:29Z
134,141,5,2011-02-12T07:00:46Z
141,7,3,2011-02-12T07:01:26Z
132,21,5,2011-02-12T17:51:39Z
139,132,1,2011-02-12T18:02:31Z
132,139,1,2011-02-12T18:10:17Z
78,132,3,2011-02-12T22:49:02Z
2,3,8,2011-02-13T04:08:27Z
132,142,1,2011-02-13T18:31:49Z
142,132,1,2011-02-13T19:45:01Z
110,142,1,2011-02-13T19:49:44Z
1,110,1,2011-02-13T20:01:33Z
110,1,1,2011-02-13T20:02:28Z
142,110,1,2011-02-13T20:19:47Z
110,76,2,2011-02-14T00:46:40Z
2,142,1,2011-02-14T01:46:13Z
142,2,1,2011-02-14T01:46:19Z
110,143,1,2011-02-14T03:09:53Z
143,110,1,2011-02-14T03:10:23Z
75,132,1,2011-02-14T12:29:04Z
110,134,1,2011-02-14T22:28:08Z
134,110,1,2011-02-14T22:38:10Z
132,144,1,2011-02-15T01:47:30Z
144,132,1,2011-02-15T01:47:39Z
1,145,1,2011-02-15T17:11:03Z
145,1,1,2011-02-15T17:12:15Z
146,2,1,2011-02-15T22:11:43Z
60,147,1,2011-02-15T22:33:11Z
41,148,1,2011-02-15T23:28:59Z
148,41,1,2011-02-15T23:30:15Z
23,113,4,2011-02-16T00:22:16Z
21,132,2,2011-02-16T02:54:44Z
93,81,2,2011-02-16T08:20:14Z
78,149,1,2011-02-16T14:23:06Z
149,150,1,2011-02-16T14:23:43Z
150,149,1,2011-02-16T14:24:34Z
132,75,1,2011-02-16T16:14:26Z
2,110,1,2011-02-16T17:45:31Z
110,2,1,2011-02-16T17:45:38Z
110,144,1,2011-02-16T17:46:00Z
144,110,1,2011-02-16T17:48:46Z
41,147,1,2011-02-16T18:46:50Z
147,41,1,2011-02-16T18:56:35Z
132,152,1,2011-02-16T19:54:51Z
104,153,2,2011-02-16T21:59:20Z
81,93,3,2011-02-17T01:46:54Z
152,154,1,2011-02-17T02:12:52Z
154,152,2,2011-02-17T02:12:52Z
152,75,1,2011-02-17T02:16:25Z
110,155,1,2011-02-17T02:44:24Z
132,156,4,2011-02-17T03:06:37Z
156,132,4,2011-02-17T03:08:07Z
132,113,3,2011-02-17T04:10:03Z
113,132,3,2011-02-17T04:11:20Z
155,110,1,2011-02-17T04:12:17Z
41,157,1,2011-02-17T16:25:15Z
157,41,1,2011-02-17T16:49:04Z
149,132,1,2011-02-17T20:57:07Z
132,149,1,2011-02-17T20:57:21Z
113,158,1,2011-02-17T21:00:22Z
158,113,2,2011-02-17T21:00:28Z
56,7,3,2011-02-17T22:06:04Z
7,56,3,2011-02-17T22:08:13Z
41,132,1,2011-02-18T15:48:45Z
153,104,2,2011-02-18T16:36:40Z
132,41,1,2011-02-18T18:37:39Z
114,1,2,2011-02-18T19:07:56Z
1,114,2,2011-02-18T20:44:53Z
1,111,2,2011-02-18T20:51:34Z
60,160,1,2011-02-18T23:34:19Z
160,60,1,2011-02-18T23:34:41Z
114,149,1,2011-02-19T15:07:47Z
149,114,1,2011-02-19T15:49:42Z
114,146,1,2011-02-19T20:07:30Z
78,146,1,2011-02-19T20:22:00Z
146,78,1,2011-02-19T20:27:41Z
122,78,1,2011-02-19T20:28:04Z
132,78,3,2011-02-19T20:28:22Z
146,114,1,2011-02-19T20:29:49Z
114,21,1,2011-02-20T02:44:27Z
7,161,3,2011-02-20T02:45:38Z
161,7,3,2011-02-20T02:45:49Z
21,114,1,2011-02-20T04:29:56Z
132,104,1,2011-02-21T01:33:49Z
104,132,1,2011-02-21T01:33:56Z
132,157,2,2011-02-21T05:14:25Z
157,132,2,2011-02-21T05:23:58Z
1,7,9,2011-02-21T05:47:36Z
7,1,7,2011-02-21T05:49:06Z
132,162,1,2011-02-21T18:08:05Z
162,132,1,2011-02-21T18:10:59Z
41,163,1,2011-02-21T18:47:56Z
163,41,1,2011-02-21T18:48:13Z
41,162,1,2011-02-21T19:11:37Z
162,41,1,2011-02-21T19:11:57Z
2,149,1,2011-02-22T03:47:15Z
149,2,1,2011-02-22T03:47:29Z
75,41,2,2011-02-22T18:38:35Z
143,81,1,2011-02-23T03:22:18Z
143,80,1,2011-02-23T03:23:47Z
80,143,1,2011-02-23T03:25:43Z
1,165,1,2011-02-23T18:55:10Z
165,1,1,2011-02-23T18:55:18Z
152,166,1,2011-02-24T02:11:02Z
166,152,1,2011-02-24T02:14:40Z
2,166,1,2011-02-24T04:10:15Z
166,2,1,2011-02-24T04:11:33Z
110,104,1,2011-02-24T20:01:45Z
41,167,1,2011-02-24T22:01:18Z
167,41,1,2011-02-24T22:01:53Z
41,168,1,2011-02-24T23:19:49Z
168,41,1,2011-02-24T23:21:47Z
132,169,2,2011-02-25T05:23:31Z
169,132,2,2011-02-25T05:24:19Z
81,149,1,2011-02-25T08:52:59Z
142,170,1,2011-02-25T14:47:18Z
170,142,1,2011-02-25T14:50:45Z
45,171,2,2011-02-25T15:09:24Z
171,45,2,2011-02-25T15:26:09Z
64,166,1,2011-02-25T17:05:34Z
166,64,1,2011-02-25T17:05:59Z
113,166,1,2011-02-25T17:21:57Z
166,113,1,2011-02-25T17:21:57Z
60,104,2,2011-02-25T17:26:29Z
60,172,1,2011-02-25T18:10:30Z
64,3,1,2011-02-25T20:17:30Z
113,173,2,2011-02-25T20:23:14Z
173,113,1,2011-02-25T20:52:31Z
41,174,1,2011-02-25T21:00:48Z
172,60,1,2011-02-25T21:01:27Z
166,156,2,2011-02-26T04:21:19Z
156,166,2,2011-02-26T04:22:17Z
175,7,2,2011-02-26T08:15:56Z
45,176,3,2011-02-26T17:17:55Z
161,144,1,2011-02-26T21:54:04Z
144,161,1,2011-02-26T21:54:28Z
7,166,1,2011-02-26T22:32:30Z
161,177,1,2011-02-27T03:45:15Z
177,161,1,2011-02-27T03:46:01Z
149,129,1,2011-02-27T08:30:55Z
129,149,1,2011-02-27T08:31:08Z
144,178,1,2011-02-27T21:54:31Z
178,144,1,2011-02-27T21:54:43Z
75,1,2,2011-02-27T22:03:20Z
75,179,1,2011-02-27T22:03:30Z
179,75,1,2011-02-27T22:03:44Z
75,62,2,2011-02-27T22:04:52Z
62,75,2,2011-02-27T22:04:58Z
143,173,1,2011-02-28T06:29:57Z
149,173,1,2011-02-28T06:33:13Z
173,149,1,2011-02-28T06:36:04Z
173,143,1,2011-02-28T06:36:55Z
166,180,1,2011-02-28T07:41:52Z
180,166,1,2011-02-28T07:43:16Z
174,41,1,2011-02-28T08:12:55Z
149,81,3,2011-02-28T13:01:56Z
144,143,1,2011-02-28T21:02:15Z
143,144,1,2011-02-28T21:04:57Z
60,148,2,2011-02-28T21:32:40Z
148,60,2,2011-02-28T21:33:05Z
2,156,1,2011-02-28T21:48:35Z
156,2,1,2011-02-28T21:48:44Z
1,19,6,2011-03-01T03:32:34Z
132,181,1,2011-03-02T02:00:53Z
181,132,1,2011-03-02T02:01:30Z
135,181,1,2011-03-02T02:23:53Z
181,135,1,2011-03-02T02:24:32Z
132,159,1,2011-03-02T02:53:09Z
159,132,1,2011-03-02T02:53:31Z
135,143,1,2011-03-02T03:57:50Z
143,135,1,2011-03-02T04:01:24Z
148,182,1,2011-03-02T04:45:20Z
182,148,1,2011-03-02T04:45:33Z
144,181,1,2011-03-02T04:52:51Z
181,144,1,2011-03-02T04:54:03Z
181,183,2,2011-03-02T05:24:27Z
183,181,2,2011-03-02T05:25:51Z
143,183,1,2011-03-02T05:38:14Z
183,143,1,2011-03-02T05:40:03Z
142,64,1,2011-03-02T17:02:00Z
64,142,1,2011-03-02T17:02:12Z
184,7,2,2011-03-02T17:43:31Z
7,184,2,2011-03-02T17:50:14Z
80,7,1,2011-03-02T17:53:38Z
7,78,1,2011-03-02T19:20:49Z
78,7,1,2011-03-02T19:21:14Z
147,179,1,2011-03-02T21:29:41Z
179,147,1,2011-03-02T22:00:58Z
7,185,1,2011-03-03T11:31:47Z
185,7,1,2011-03-03T11:35:11Z
176,45,1,2011-03-03T18:51:32Z
183,186,1,2011-03-04T02:10:00Z
186,183,1,2011-03-04T02:12:08Z
135,187,1,2011-03-04T02:15:54Z
187,135,1,2011-03-04T02:21:11Z
33,7,2,2011-03-04T02:35:12Z
7,33,2,2011-03-04T02:35:19Z
78,144,3,2011-03-04T21:53:28Z
7,188,1,2011-03-05T00:06:40Z
188,7,1,2011-03-05T00:06:49Z
104,189,2,2011-03-05T01:52:29Z
189,104,2,2011-03-05T02:01:15Z
104,190,1,2011-03-05T05:48:39Z
190,104,1,2011-03-05T05:49:19Z
104,110,2,2011-03-06T18:37:49Z
104,191,1,2011-03-06T19:00:45Z
191,104,1,2011-03-06T19:00:55Z
104,113,1,2011-03-06T21:28:42Z
113,104,1,2011-03-06T21:29:26Z
6,173,3,2011-03-06T21:46:39Z
110,7,1,2011-03-07T09:42:07Z
104,171,1,2011-03-07T18:17:32Z
171,104,1,2011-03-07T19:41:44Z
143,192,1,2011-03-07T20:45:54Z
192,143,1,2011-03-07T20:46:29Z
60,159,2,2011-03-07T20:54:31Z
159,60,2,2011-03-07T20:55:24Z
2,1,8,2011-03-08T04:01:37Z
57,25,2,2011-03-08T04:04:17Z
60,178,2,2011-03-08T19:29:17Z
7,35,2,2011-03-09T13:57:54Z
60,193,1,2011-03-09T14:25:13Z
193,60,1,2011-03-09T17:06:31Z
60,194,1,2011-03-09T18:24:24Z
194,178,1,2011-03-09T18:24:52Z
194,60,1,2011-03-09T18:26:33Z
178,194,1,2011-03-09T18:40:30Z
7,195,1,2011-03-10T04:55:38Z
195,7,1,2011-03-10T04:55:59Z
29,60,2,2011-03-10T05:34:34Z
62,196,1,2011-03-10T11:54:05Z
196,62,1,2011-03-10T11:54:29Z
60,29,2,2011-03-10T14:28:19Z
60,191,4,2011-03-10T15:25:16Z
7,156,1,2011-03-12T06:55:11Z
156,7,1,2011-03-12T06:55:16Z
60,198,1,2011-03-12T17:14:45Z
60,199,1,2011-03-13T03:04:23Z
199,60,1,2011-03-13T03:07:35Z
7,200,2,2011-03-13T11:26:01Z
200,7,2,2011-03-13T11:32:31Z
132,198,2,2011-03-13T19:02:16Z
198,132,1,2011-03-13T19:05:17Z
35,7,2,2011-03-15T10:16:51Z
194,201,1,2011-03-15T17:13:56Z
201,194,1,2011-03-15T17:45:26Z
100,202,1,2011-03-15T22:00:23Z
202,100,1,2011-03-15T22:07:00Z
142,203,1,2011-03-15T23:30:49Z
203,142,1,2011-03-15T23:44:43Z
7,204,1,2011-03-15T23:44:48Z
142,60,1,2011-03-15T23:58:10Z
7,110,3,2011-03-16T01:53:16Z
60,205,1,2011-03-16T02:59:28Z
206,201,1,2011-03-16T07:50:03Z
201,206,1,2011-03-16T07:55:38Z
207,7,2,2011-03-16T16:15:02Z
200,62,1,2011-03-17T02:49:54Z
60,75,3,2011-03-17T03:25:04Z
75,60,3,2011-03-17T03:27:45Z
75,7,3,2011-03-17T03:36:52Z
60,209,3,2011-03-17T22:53:02Z
7,210,1,2011-03-18T01:31:24Z
210,7,1,2011-03-18T02:17:25Z
142,143,2,2011-03-18T14:49:15Z
143,142,2,2011-03-18T14:49:28Z
60,142,1,2011-03-18T18:38:15Z
7,206,2,2011-03-19T20:54:10Z
149,209,1,2011-03-20T20:28:05Z
120,7,5,2011-03-21T12:00:55Z
7,207,3,2011-03-21T15:08:57Z
7,96,1,2011-03-21T22:05:24Z
104,179,-1,2011-03-22T01:07:16Z
200,179,-1,2011-03-22T01:08:58Z
149,179,-1,2011-03-22T01:11:01Z
96,7,2,2011-03-22T10:18:27Z
56,60,2,2011-03-22T17:46:02Z
202,211,1,2011-03-23T00:15:52Z
200,13,1,2011-03-23T00:24:51Z
13,200,1,2011-03-23T00:25:13Z
211,202,1,2011-03-23T01:46:53Z
104,149,1,2011-03-23T02:38:33Z
149,104,1,2011-03-23T02:47:38Z
104,60,3,2011-03-23T05:16:25Z
149,62,1,2011-03-23T07:13:25Z
167,211,1,2011-03-23T08:34:05Z
206,7,2,2011-03-23T23:16:27Z
202,212,1,2011-03-24T00:56:53Z
212,202,1,2011-03-24T00:57:20Z
212,209,1,2011-03-24T01:52:52Z
60,212,4,2011-03-24T02:25:59Z
212,60,4,2011-03-24T02:27:08Z
101,134,1,2011-03-24T02:30:41Z
60,213,2,2011-03-24T02:32:20Z
213,60,2,2011-03-24T02:33:23Z
134,101,1,2011-03-24T02:46:12Z
212,7,1,2011-03-24T03:16:56Z
212,132,1,2011-03-24T03:17:28Z
212,29,1,2011-03-24T03:23:24Z
143,153,1,2011-03-24T20:10:14Z
153,143,2,2011-03-24T20:23:58Z
35,110,2,2011-03-24T21:55:30Z
135,214,1,2011-03-24T22:22:37Z
143,215,1,2011-03-25T02:21:43Z
215,143,1,2011-03-25T02:25:08Z
29,212,1,2011-03-25T02:43:03Z
7,212,1,2011-03-25T03:21:05Z
135,152,1,2011-03-25T05:12:57Z
7,179,-1,2011-03-25T05:55:57Z
39,149,4,2011-03-25T11:40:23Z
149,39,4,2011-03-25T11:41:15Z
214,216,1,2011-03-25T20:28:52Z
216,214,1,2011-03-25T20:52:01Z
174,112,1,2011-03-25T21:36:45Z
153,202,1,2011-03-26T02:16:15Z
29,120,2,2011-03-26T12:36:25Z
60,217,2,2011-03-26T14:13:53Z
60,218,1,2011-03-26T14:27:13Z
218,60,1,2011-03-26T14:28:15Z
209,212,1,2011-03-26T19:24:31Z
217,60,2,2011-03-26T19:34:35Z
217,3,5,2011-03-26T19:36:56Z
135,179,-1,2011-03-27T02:38:53Z
176,219,1,2011-03-27T14:18:03Z
219,176,1,2011-03-27T14:18:28Z
219,110,1,2011-03-27T14:19:05Z
176,220,1,2011-03-27T16:57:44Z
1,223,7,2011-03-28T16:32:28Z
60,1,7,2011-03-28T17:24:37Z
60,7,7,2011-03-28T17:24:43Z
39,2,8,2011-03-28T17:28:22Z
202,176,1,2011-03-28T19:09:05Z
176,202,1,2011-03-28T19:11:37Z
60,224,4,2011-03-28T19:37:05Z
1,225,1,2011-03-28T23:23:21Z
225,1,1,2011-03-28T23:24:45Z
225,209,1,2011-03-28T23:25:26Z
29,1,4,2011-03-29T02:28:57Z
29,219,1,2011-03-29T02:31:11Z
219,29,1,2011-03-29T02:33:44Z
1,132,1,2011-03-29T02:37:13Z
