,source node,target node,rating,time
239,119,1,10,2011-01-31 22:36:24.096979968
240,100,1,3,2011-01-31 22:37:07.304840192
241,100,7,4,2011-02-01 02:49:43.066030080
242,7,100,2,2011-02-01 02:51:08.834350080
243,7,47,1,2011-02-01 02:51:58.478759936
244,7,122,1,2011-02-01 09:47:53.178610176
245,122,7,1,2011-02-01 09:48:01.630510080
246,23,108,1,2011-02-01 16:51:22.737479936
247,108,23,1,2011-02-01 16:51:32.825959936
248,108,104,1,2011-02-01 17:08:21.422800128
249,104,108,1,2011-02-01 17:08:47.986779904
250,60,56,2,2011-02-01 21:21:42.621430016
251,115,77,3,2011-02-01 23:03:01.267980032
252,119,127,10,2011-02-02 01:03:50.857139968
253,119,25,1,2011-02-02 01:14:33.322479872
254,1,2,8,2011-02-02 06:49:03.620729856
255,1,76,2,2011-02-02 07:20:15.114680064
256,76,1,2,2011-02-02 07:22:04.448430080
257,1,23,6,2011-02-02 14:41:11.100189952
258,54,129,1,2011-02-02 21:36:52.848570112
259,116,7,2,2011-02-02 23:18:53.364169984
260,7,116,2,2011-02-02 23:19:33.263209984
261,54,13,2,2011-02-02 23:51:53.931200000
262,13,54,2,2011-02-02 23:52:44.788680192
263,77,39,3,2011-02-03 17:29:57.208889856
264,77,15,1,2011-02-03 17:32:15.653609984
265,77,6,3,2011-02-03 17:33:11.498490112
266,77,1,3,2011-02-03 17:33:16.242310144
267,77,23,1,2011-02-03 17:33:34.290119936
268,77,28,3,2011-02-03 17:33:55.618680064
269,77,115,3,2011-02-03 17:34:04.145720064
270,77,112,1,2011-02-03 17:35:11.909549824
271,77,131,1,2011-02-03 17:36:39.047209984
272,77,61,3,2011-02-03 17:37:24.662099968
273,129,54,1,2011-02-03 18:46:19.862659840
274,54,2,2,2011-02-03 21:44:31.347340032
275,2,54,2,2011-02-03 21:44:54.334359808
276,127,119,10,2011-02-03 22:42:59.279220224
277,127,132,1,2011-02-03 22:45:29.837120000
278,132,127,2,2011-02-03 23:06:00.494579968
279,7,133,1,2011-02-04 04:02:03.683500032
280,133,7,1,2011-02-04 04:05:59.704000000
281,105,41,1,2011-02-04 16:44:22.524800000
282,41,64,1,2011-02-05 01:10:52.526000128
283,64,41,1,2011-02-05 01:11:57.363290112
284,57,110,1,2011-02-05 01:41:08.189500160
285,113,125,2,2011-02-05 05:38:25.287049984
286,125,113,2,2011-02-05 05:44:04.812140032
287,54,7,6,2011-02-05 13:40:25.272069888
288,7,54,5,2011-02-05 13:45:57.934629888
289,113,23,2,2011-02-05 17:36:22.064909824
290,113,135,2,2011-02-05 17:37:04.464410112
291,135,113,2,2011-02-05 17:40:23.983480064
292,78,36,2,2011-02-07 15:49:08.026240000
293,36,78,2,2011-02-07 15:50:04.327660032
294,2,132,2,2011-02-07 18:15:09.391369984
295,132,2,2,2011-02-07 18:16:25.308809984
296,96,15,4,2011-02-08 17:49:19.234999808
297,110,57,1,2011-02-08 20:43:56.374599936
298,110,41,1,2011-02-08 20:44:03.904230144
299,132,28,1,2011-02-08 23:09:14.682670080
300,28,132,1,2011-02-08 23:20:40.847239936
301,111,1,1,2011-02-09 22:50:37.510400000
302,132,134,1,2011-02-10 01:25:58.115840000
303,134,132,1,2011-02-10 01:26:04.400100096
304,132,100,1,2011-02-10 03:23:24.524920064
305,100,132,1,2011-02-10 03:25:56.094970112
306,41,137,1,2011-02-10 05:24:00.135420160
307,15,96,3,2011-02-10 17:45:11.129640192
308,137,41,1,2011-02-10 19:53:21.170880000
309,7,137,1,2011-02-10 20:40:41.708830208
310,137,7,1,2011-02-10 20:51:58.264300032
311,1,138,1,2011-02-10 21:36:57.097340160
312,138,1,1,2011-02-10 21:43:24.872549888
313,132,138,1,2011-02-10 23:00:06.445619968
314,138,132,1,2011-02-10 23:01:11.137069824
315,100,111,1,2011-02-11 00:56:01.438169856
316,111,100,1,2011-02-11 00:58:42.899549952
317,100,64,1,2011-02-11 01:06:07.256669952
318,64,100,1,2011-02-11 01:06:58.354830080
319,41,140,1,2011-02-11 21:58:41.011759872
320,140,41,1,2011-02-11 22:21:14.483560192
321,7,60,5,2011-02-11 23:38:32.379069952
322,60,100,2,2011-02-12 03:02:44.519340032
323,7,141,2,2011-02-12 03:43:26.041120000
324,141,134,5,2011-02-12 05:43:29.503310080
325,134,141,5,2011-02-12 07:00:46.218130176
326,141,7,3,2011-02-12 07:01:26.698579968
327,132,21,5,2011-02-12 17:51:39.478189824
328,139,132,1,2011-02-12 18:02:31.043440128
329,132,139,1,2011-02-12 18:10:17.737910016
330,78,132,3,2011-02-12 22:49:02.578380032
331,2,3,8,2011-02-13 04:08:27.334039808
332,132,142,1,2011-02-13 18:31:49.863329792
333,142,132,1,2011-02-13 19:45:01.051870208
334,110,142,1,2011-02-13 19:49:44.940839936
335,1,110,1,2011-02-13 20:01:33.101080064
336,110,1,1,2011-02-13 20:02:28.992669952
337,142,110,1,2011-02-13 20:19:47.631650048
338,110,76,2,2011-02-14 00:46:40.676120064
339,2,142,1,2011-02-14 01:46:13.798080000
340,142,2,1,2011-02-14 01:46:19.655960064
341,110,143,1,2011-02-14 03:09:53.629029888
342,143,110,1,2011-02-14 03:10:23.051500032
343,75,132,1,2011-02-14 12:29:04.767899904
344,110,134,1,2011-02-14 22:28:08.033479936
345,134,110,1,2011-02-14 22:38:10.506269952
346,132,144,1,2011-02-15 01:47:30.422009856
347,144,132,1,2011-02-15 01:47:39.946409984
348,1,145,1,2011-02-15 17:11:03.895030016
349,145,1,1,2011-02-15 17:12:15.518579968
350,146,2,1,2011-02-15 22:11:43.354180096
351,60,147,1,2011-02-15 22:33:11.757319936
352,41,148,1,2011-02-15 23:28:59.285160192
353,148,41,1,2011-02-15 23:30:15.381510144
354,23,113,4,2011-02-16 00:22:16.609980160
355,21,132,2,2011-02-16 02:54:44.769680128
356,93,81,2,2011-02-16 08:20:14.540980224
357,78,149,1,2011-02-16 14:23:06.486889984
358,149,150,1,2011-02-16 14:23:43.361949952
359,150,149,1,2011-02-16 14:24:34.160620032
360,132,75,1,2011-02-16 16:14:26.382819840
361,2,110,1,2011-02-16 17:45:31.025209856
362,110,2,1,2011-02-16 17:45:38.839639808
363,110,144,1,2011-02-16 17:46:00.647919872
364,144,110,1,2011-02-16 17:48:46.434739968
365,41,147,1,2011-02-16 18:46:50.562119936
366,147,41,1,2011-02-16 18:56:35.236259840
367,132,152,1,2011-02-16 19:54:51.496720128
368,104,153,2,2011-02-16 21:59:20.044229888
369,81,93,3,2011-02-17 01:46:54.441349888
370,152,154,1,2011-02-17 02:12:52.119659776
371,154,152,2,2011-02-17 02:12:52.298700032
372,152,75,1,2011-02-17 02:16:25.044100096
373,110,155,1,2011-02-17 02:44:24.511010048
374,132,156,4,2011-02-17 03:06:37.640310016
375,156,132,4,2011-02-17 03:08:07.225600000
376,132,113,3,2011-02-17 04:10:03.121139968
377,113,132,3,2011-02-17 04:11:20.114820096
378,155,110,1,2011-02-17 04:12:17.361819904
379,41,157,1,2011-02-17 16:25:15.118710016
380,157,41,1,2011-02-17 16:49:04.452889856
381,149,132,1,2011-02-17 20:57:07.002160128
382,132,149,1,2011-02-17 20:57:21.977740032
383,113,158,1,2011-02-17 21:00:22.392420096
384,158,113,2,2011-02-17 21:00:28.094060032
385,56,7,3,2011-02-17 22:06:04.620579840
386,7,56,3,2011-02-17 22:08:13.924640000
387,41,132,1,2011-02-18 15:48:45.361149952
388,153,104,2,2011-02-18 16:36:40.344320000
389,132,41,1,2011-02-18 18:37:39.082000128
390,114,1,2,2011-02-18 19:07:56.442429952
391,1,114,2,2011-02-18 20:44:53.741430016
392,1,111,2,2011-02-18 20:51:34.483869952
393,60,160,1,2011-02-18 23:34:19.676709888
394,160,60,1,2011-02-18 23:34:41.952729856
395,114,149,1,2011-02-19 15:07:47.613910016
396,149,114,1,2011-02-19 15:49:42.320689920
397,114,146,1,2011-02-19 20:07:30.016769792
398,78,146,1,2011-02-19 20:22:00.376480000
399,146,78,1,2011-02-19 20:27:41.905710080
400,122,78,1,2011-02-19 20:28:04.261149952
401,132,78,3,2011-02-19 20:28:22.068960000
402,146,114,1,2011-02-19 20:29:49.697100032
403,114,21,1,2011-02-20 02:44:27.270329856
404,7,161,3,2011-02-20 02:45:38.523990016
405,161,7,3,2011-02-20 02:45:49.763480064
406,21,114,1,2011-02-20 04:29:56.502470144
407,132,104,1,2011-02-21 01:33:49.599319808
408,104,132,1,2011-02-21 01:33:56.659290112
409,132,157,2,2011-02-21 05:14:25.407869952
410,157,132,2,2011-02-21 05:23:58.453329920
411,1,7,9,2011-02-21 05:47:36.420739840
412,7,1,7,2011-02-21 05:49:06.369319936
413,132,162,1,2011-02-21 18:08:05.256659968
414,162,132,1,2011-02-21 18:10:59.994649856
415,41,163,1,2011-02-21 18:47:56.764199936
416,163,41,1,2011-02-21 18:48:13.594490112
417,41,162,1,2011-02-21 19:11:37.573460224
418,162,41,1,2011-02-21 19:11:57.024480000
419,2,149,1,2011-02-22 03:47:15.183330048
420,149,2,1,2011-02-22 03:47:29.839649792
421,75,41,2,2011-02-22 18:38:35.406330112
422,143,81,1,2011-02-23 03:22:18.727080192
423,143,80,1,2011-02-23 03:23:47.575059968
424,80,143,1,2011-02-23 03:25:43.839729920
425,1,165,1,2011-02-23 18:55:10.224049920
426,165,1,1,2011-02-23 18:55:18.262500096
427,152,166,1,2011-02-24 02:11:02.945980160
428,166,152,1,2011-02-24 02:14:40.515369984
429,2,166,1,2011-02-24 04:10:15.606030080
430,166,2,1,2011-02-24 04:11:33.711340032
431,110,104,1,2011-02-24 20:01:45.043510016
432,41,167,1,2011-02-24 22:01:18.756800000
433,167,41,1,2011-02-24 22:01:53.750060032
434,41,168,1,2011-02-24 23:19:49.747160064
435,168,41,1,2011-02-24 23:21:47.369110016
436,132,169,2,2011-02-25 05:23:31.856199936
437,169,132,2,2011-02-25 05:24:19.262400000
438,81,149,1,2011-02-25 08:52:59.122489856
439,142,170,1,2011-02-25 14:47:18.443120128
440,170,142,1,2011-02-25 14:50:45.290179840
441,45,171,2,2011-02-25 15:09:24.141900032
442,171,45,2,2011-02-25 15:26:09.997529856
443,64,166,1,2011-02-25 17:05:34.322619904
444,166,64,1,2011-02-25 17:05:59.588499968
445,113,166,1,2011-02-25 17:21:57.413379840
446,166,113,1,2011-02-25 17:21:57.678839808
447,60,104,2,2011-02-25 17:26:29.704679936
448,60,172,1,2011-02-25 18:10:30.160800000
449,64,3,1,2011-02-25 20:17:30.040549888
450,113,173,2,2011-02-25 20:23:14.716770048
451,173,113,1,2011-02-25 20:52:31.558060032
452,41,174,1,2011-02-25 21:00:48.203429888
453,172,60,1,2011-02-25 21:01:27.636760064
454,166,156,2,2011-02-26 04:21:19.992090112
455,156,166,2,2011-02-26 04:22:17.719320064
456,175,7,2,2011-02-26 08:15:56.960499968
457,45,176,3,2011-02-26 17:17:55.717220096
458,161,144,1,2011-02-26 21:54:04.958099968
459,144,161,1,2011-02-26 21:54:28.918729984
460,7,166,1,2011-02-26 22:32:30.408349952
461,161,177,1,2011-02-27 03:45:15.234659840
462,177,161,1,2011-02-27 03:46:01.050620160
463,149,129,1,2011-02-27 08:30:55.872740096
464,129,149,1,2011-02-27 08:31:08.731689984
465,144,178,1,2011-02-27 21:54:31.572320000
466,178,144,1,2011-02-27 21:54:43.578289920
467,75,1,2,2011-02-27 22:03:20.383020032
468,75,179,1,2011-02-27 22:03:30.441390080
469,179,75,1,2011-02-27 22:03:44.279720192
470,75,62,2,2011-02-27 22:04:52.263190016
471,62,75,2,2011-02-27 22:04:58.060620032
472,143,173,1,2011-02-28 06:29:57.889210112
473,149,173,1,2011-02-28 06:33:13.433900032
474,173,149,1,2011-02-28 06:36:04.122139904
475,173,143,1,2011-02-28 06:36:55.999399936
476,166,180,1,2011-02-28 07:41:52.590710016
477,180,166,1,2011-02-28 07:43:16.515950080
478,174,41,1,2011-02-28 08:12:55.101850112
479,149,81,3,2011-02-28 13:01:56.560879872
480,144,143,1,2011-02-28 21:02:15.423540224
481,143,144,1,2011-02-28 21:04:57.424669952
482,60,148,2,2011-02-28 21:32:40.872980224
483,148,60,2,2011-02-28 21:33:05.248440064
484,2,156,1,2011-02-28 21:48:35.268960000
485,156,2,1,2011-02-28 21:48:44.586190080
486,1,19,6,2011-03-01 03:32:34.248750080
487,132,181,1,2011-03-02 02:00:53.022730240
488,181,132,1,2011-03-02 02:01:30.363110144
489,135,181,1,2011-03-02 02:23:53.453049856
490,181,135,1,2011-03-02 02:24:32.095089920
491,132,159,1,2011-03-02 02:53:09.956880128
492,159,132,1,2011-03-02 02:53:31.423460096
493,135,143,1,2011-03-02 03:57:50.000070144
494,143,135,1,2011-03-02 04:01:24.571140096
495,148,182,1,2011-03-02 04:45:20.302149888
496,182,148,1,2011-03-02 04:45:33.746160128
497,144,181,1,2011-03-02 04:52:51.846380032
498,181,144,1,2011-03-02 04:54:03.766560000
499,181,183,2,2011-03-02 05:24:27.003209984
500,183,181,2,2011-03-02 05:25:51.716720128
501,143,183,1,2011-03-02 05:38:14.869640192
502,183,143,1,2011-03-02 05:40:03.241810176
503,142,64,1,2011-03-02 17:02:00.834160128
504,64,142,1,2011-03-02 17:02:12.117049856
505,184,7,2,2011-03-02 17:43:31.164809984
506,7,184,2,2011-03-02 17:50:14.040299776
507,80,7,1,2011-03-02 17:53:38.204910080
508,7,78,1,2011-03-02 19:20:49.422489856
509,78,7,1,2011-03-02 19:21:14.947160064
510,147,179,1,2011-03-02 21:29:41.016910080
511,179,147,1,2011-03-02 22:00:58.852420096
512,7,185,1,2011-03-03 11:31:47.928230144
513,185,7,1,2011-03-03 11:35:11.958030080
514,176,45,1,2011-03-03 18:51:32.562690048
515,183,186,1,2011-03-04 02:10:00.795269888
516,186,183,1,2011-03-04 02:12:08.255709952
517,135,187,1,2011-03-04 02:15:54.188790016
518,187,135,1,2011-03-04 02:21:11.378170112
519,33,7,2,2011-03-04 02:35:12.205179904
520,7,33,2,2011-03-04 02:35:19.674340096
521,78,144,3,2011-03-04 21:53:28.111650048
522,7,188,1,2011-03-05 00:06:40.030249984
523,188,7,1,2011-03-05 00:06:49.037800192
524,104,189,2,2011-03-05 01:52:29.539859968
525,189,104,2,2011-03-05 02:01:15.701620224
526,104,190,1,2011-03-05 05:48:39.323780096
527,190,104,1,2011-03-05 05:49:19.526819840
528,104,110,2,2011-03-06 18:37:49.149310208
529,104,191,1,2011-03-06 19:00:45.594579968
530,191,104,1,2011-03-06 19:00:55.410550016
531,104,113,1,2011-03-06 21:28:42.310540032
532,113,104,1,2011-03-06 21:29:26.291330048
533,6,173,3,2011-03-06 21:46:39.631640064
534,110,7,1,2011-03-07 09:42:07.293250048
535,104,171,1,2011-03-07 18:17:32.611229952
536,171,104,1,2011-03-07 19:41:44.152519936
537,143,192,1,2011-03-07 20:45:54.615139840
538,192,143,1,2011-03-07 20:46:29.685149952
539,60,159,2,2011-03-07 20:54:31.870500096
540,159,60,2,2011-03-07 20:55:24.891709952
541,2,1,8,2011-03-08 04:01:37.117870080
542,57,25,2,2011-03-08 04:04:17.619489792
543,60,178,2,2011-03-08 19:29:17.685159936
544,7,35,2,2011-03-09 13:57:54.432620032
545,60,193,1,2011-03-09 14:25:13.482629888
546,193,60,1,2011-03-09 17:06:31.596649984
547,60,194,1,2011-03-09 18:24:24.648410112
548,194,178,1,2011-03-09 18:24:52.124039936
549,194,60,1,2011-03-09 18:26:33.588839936
550,178,194,1,2011-03-09 18:40:30.989440000
551,7,195,1,2011-03-10 04:55:38.350089984
552,195,7,1,2011-03-10 04:55:59.821890048
553,29,60,2,2011-03-10 05:34:34.572949760
554,62,196,1,2011-03-10 11:54:05.424689920
555,196,62,1,2011-03-10 11:54:29.104069888
556,60,29,2,2011-03-10 14:28:19.466240000
557,60,191,4,2011-03-10 15:25:16.794339840
558,7,156,1,2011-03-12 06:55:11.495709952
